Dons,Src,Conditions,Avantages
Héritage chacal,MPNJ,"Type humanoïde, personnage de niveau 1 uniquement",bonus racial de +2 aux jets de sauvegarde contre les effets mentaux et aux tests de Perception
Héritage monastique*,AG,"Capacité de classe sérénité, Science du combat à mains nues.","Pour déterminer les dégâts à mains nues, le personnage compte la moitié de ses niveaux d'autres classes comme des niveaux de moine"
Héritage racial,MJRA,Humain,Fonctionne comme un humain et un membre d'une autre race
Homme de main*,MJRA,1 rang en Intimidation,Démoraliser un ennemi par une action libre en infligeant des dégâts non létaux
Homme-félin modèle,MR,Homme-félin,Gain d'une manifestation de la nature féline du personnage
Honneur irréprochable,UI,Volonté de fer,"Chaque fois que le personnage est influencé par un effet de charme ou de coercition et devrait être forcé à effectuer une action qui va à l'encontre de sa nature profonde, des principes de sa religion, ou qui serait associé à un alignement opposé au sien (par exemple, un personnage chaotique ou mauvais qui agirait de façon loyale ou bonne), il bénéficie d'un bonus de +4 à tout jet de sauvegarde ou test de Charisme opposé pour résister à l'ordre ou se libérer de l'effet. Lorsque le personnage est ainsi forcé à attaquer un de ses alliés, il subit un malus de -4 aux jets d'attaque et de dégâts ."
Horreur de l'étreinte fatale*,AG,"For 15, Int 3; naga, homme-serpent, ou créature avec la capacité raciale constriction; Étreinte fatale; BBA +6",Les créatures qui subissent des dégâts de constriction sont secouées
Humiliation acérée,UI,"Persuasion, 5 rangs en Intimidation",Humilie une personne pour affaiblir ses tests basés sur le Charisme
Illusionniste amateur,MR,"Gnome, trait racial magie gnome","Bonus aux tests de Bluff, de Déguisement, et d'Escamotage tant que le personnage a des pouvoirs magiques d'illusion inutilisés"
Imitation animale prolongée,MCA,Capacité de classe imitation animale,Le personnage rajoute son modificateur de Sagesse au nombre de minutes par jour où il peut utiliser imitation animale
Imitation du traqueur,MCA,"3 rangs en Connaissances (nature), 3 rangs en Survie, aucun niveau dans une classe dotée d'imitation animale",Le personnage gagne une imitation animale pour lui ou pour son compagnon animal
Immense haine*,MR,"Gnome, trait racial haine",Étend la haine du personnage à deux nouveaux types de créatures
Immobiliser*,MJ,Attaques réflexes,Empêche les ennemis de dépasser le personnage
Implantation crânienne,OO,"Autonome ou Trépanation, 7 rangs en Premiers secours",Utilise des aiguilles pour aider à se concentrer sur les pensées et les émotions
Implantation de bombe,AM,"5 rangs en Premiers secours, découverte d'alchimiste bombe à retardement",Implante une bombe dans une créature volontaire ou sans défense
Imposition des mains supplémentaire,MJ,Capacité de classe imposition des mains,Deux impositions des mains supplémentaires/jour
Improvisation,MR,"Int 13, Apprentissage rapide, humain","Le personnage gagne un bonus de +2 aux tests quand il utilise une compétence pour laquelle il ne possède aucun rang . De plus, il peut utiliser toutes les compétences sans formation."
Inaperçu,MJRA,"Dex 13, taille P ou plus petit",Faire des tests de Discrétion contre les adversaires pris au dépourvu lors du premier round de combat
Incantation animale,MJ,"Sag 13, capacité de classe forme animale",Le personnage lance des sorts sous forme animale
Incantation contre un ennemi juré,MCA,Capacité à lancer des sorts,Le DD des sorts est augmenté de 1 contre l'ennemi choisi du personnage
Incantation parfaite,ISG,"Dignité divine, Magie de guerre, capacité à lancer des sorts divins, suivant d'Abadar",Les effets de Dignité divine s'étendent à tous les sorts divins
Incantation rageuse,MCA,Capacité de classe incantation sanguine,Sacrifice de points de vie pour augmenter la puissance des sorts de sanguin
Inciter la paranoïa*,UI,"Int 13, Expertise du combat, Feinte supérieure, Fourberie, Science de la feinte, BBA +6",Détruit l'esprit d'équipe des adversaires et propage le doute dans leurs rangs
Individu chanceux,MR,"Trait racial chance adaptative, halfelin",Gain d'une utilisaiton supplémentaire de chance adaptative
Induction d'hypnotiseur supplémentaire,AO,Capacité de classe induction d'hypnotiseur,Implantation de 2 inductions d'hypnotiseur de plus par jour
Influence légendaire,UI,Capacité de classe pouvoir spirituel mineur,Gagne un don grâce aux légendes
Influence légendaire supérieure,UI,"Influence légendaire, capacités de classe pouvoir spirituel mineur et conciliation",Gagne deux dons grâce aux légendes
Ingénieur de siège*,AG,"5 rangs en Connaissances (ingénierie) ou en Profession (ingénieur de siège), maniement d'une arme de siège",Le personnage sait manier toutes les armes de siège
Inimité éternelle,ISR,"3 rangs en Connaissances (voir spécial), trait racial haine","Les attaques du personnage infligent 1d6 points de dégâts de précision supplémentaires aux cibles concernées par son trait racial haine. Ces dégâts bonus se cumulent avec les autres sources de dégâts de précision, comme l' attaque sournoise . Si le trait racial haine du personnage s'applique à deux types ou sous-types de créature, il doit choisir l'un deux ; ce don s'applique uniquement aux cibles de ce type (et de ce sous-type, le cas échéant). Une fois fait, ce choix ne peut pas être modifié."
Inimitié ancestrale*,CM,Sous-type géant,Le personnage gagne un bonus de +2 aux jets d’attaque au corps à corps contre les nains et les gnomes .
Initiative stupéfiante*,DTT,Science de l'initiative,Les adversaires sont toujours prit au dépourvu penadnt le round de surprise
Initié du chakra,AO,Capacité à éveiller le chakra racine,Gain de 3 points de ki de feu-serpent pour les chakras
Initié du refus de mourir*,AG,"For 13, Con 13, demi-orque ou orque, Dur à cuire, Endurance, BBA +6",Le personnage n'est pas chancelant quand il utilise Dur à cuire ; +2 aux jets de dégâts au corps à corps
Inoculation perspicace,MCA,"Capacité de classe utilisation du poison, frappe étudiée +4d6",Augmente le DD du poison délivré avec frappe étudiée
Inséparables,RSE,Capacité de classe compagnon animal ou familier,Les capacités du compagnon ou du familier sont calculées comme si le personnage était d'un plus haut niveau
Inspiration concentrée,MCA,Capacités de classe inspiration et souvenir précis,Utilisation de d8 ou supérieurs quand votre personnage utilise inspiration pour les compétences choisies
Inspiration supplémentaire,MCA,Capacité de classe inspiration ou Enquêteur amateur,Gain de trois utilisations d'inspiration
Interception de coups*,MJRA,Garde du corps,Subir les dégâts d'une attaque réussie contre un allié adjacent
Interférence divine,AM,Lanceur de sorts divins de niveau 10,Sacrifie un sort pour obliger un ennemi à refaire un jet d'attaque réussi contre un allié
Interposition héroïque*,ISG,"Dex 13, Esquive, Science de l'initative, suivant d'un seigneur empyréen",Permet de se déplacer à sa vitesse pour arriver à côté d'un ennemi qui attaque un allié
Intuition magique,D&M,"Bouclier magique, lanceur de sorts profanes, NLS 10, suivant de Néthys","À chaque fois que le personnage utilise le don Bouclier magique , il bénéficie également d’un bonus d’intuition de +1 à la CA pendant 1 round ."
Intuition partagée,MJRA,"Sag 13, demi-elfe",Donner un bonus de +2 aux tests de Perception aux alliés
Intuition prophétique,AM,Capacité de classe mystère,Bonus aux tests de Psychologie et Art de la magie pour identifier des propriétés magiques
Intuition rusée*,UI,"Arme en main, Prêt à tout, Réflexes surhumains, Science de l'initiative, Vigilance, BBA +13 ou roublard de niveau 13, 13 rangs en Psychologie",Choisi l'action préparée lorsqu'elle est déclenchée
Inversion amicale,RSE,BBA +1,Échange de place avec un allié pendant un pas de placement
Invisibilité prolongée,MR,Duergar,Reste translucide après qu'un effet d'invisibilité soit terminé
Invocateur d'araignées,MR,"convocation de monstres ou convocation d'alliés naturels comme pouvoir magique, drow",Appel de puissantes araignées avec les sorts de convocation
Invocateur de squelettes,AM,"École renforcée (Nécromancie), capacité à lancer convocation de monstres",Convoque des squelettes au lieu de créatures vivantes avec convocation de monstres
Invocation de l'instinct primal,MR,"1 rang en Bluff, capacité de classe forme animale, gnome","Imite un prédateur ou une proie, effrayant ou paraissant inoffensif pour ceux qui voient le personnage"
Jouer pour la foule,UI,"Int 19, Logique implacable, 5 rangs en Diplomatie, 5 rangs en Psychologie",Découvre les préjugés de l'interlocuteur pour faciliter l'utilisation de la Diplomatie
Jouet du destin,CCMI,—,"Le personnage gagne un bonus de +1 aux jets de Volonté destinés à résister aux effets d’enchantement. Une fois par jour, il peut lancer 1d6 pour désigner une de ses caractéristiques. Pendant le reste de la journée, il pourra appliquer un bonus de +2 à n’importe quel jet de d20 modifiable basé sur la Caractéristique tirée au hasard. Par exemple, si le tirage au sort désigne la Dextérité, il pourra appliquer son bonus de +2 à un test d’Initiative, un jet de Réflexes, un test de compétence basé sur la Dextérité ou un jet d'attaque à distance. Il peut assigner son bonus une fois le jet effectué, mais obligatoirement avant de savoir si c’est une réussite ou un échec."
Jugement instantané,AG,Capacité de classe second jugement,Le personnage peut prononcer un jugement ou en changer par une action immédiate
Jugement partagé,AG,Capacité de classe second jugement,Étend les effets d'un jugement à un allié adjacent au lieu d'en activer un second
Jugement partial,AM,"Sag 13, capacité de classe jugement",Le jugement est plus efficace sur les créatures d'un type donné tirées de la liste des ennemis jurés du rôdeur
Jugement renforcé,AM,Capacité de classe jugement,Version améliorée du jugement
Jusqu'au dernier*,ISG,"Dur à cuire, Endurance, suivant de Gorum",Être hors de combat ne rend plus le personnage chancelant
Justicier célèbre*,UI,"Arme de prédilection, Démonstration, alignement non-Bon, talent social grande renommée, maniement de l'arme choisie",Utilise Démonstration par une action simple et sans manier une arme de prédilection
Ki supplémentaire,MJ,Capacité de classe réserve de ki,Augmente la réserve de ki de +2
KO sur l'immobile*,AG,"Dex 13, Lutte supérieure, Science de la lutte, Science du combat à mains nues, BBA +9 ou moine de niveau 9",Le personnage inflige des dégâts non létaux de lutte doublés sur un adversaire immobilisé
La mort ou la gloire*,AG,"For 13, Attaque en puissance, BBA +6","Si le personnage affronte une créature d’une catégorie de taille de plus que lui ou plus, il peut faire une unique attaque au corps à corps, par une action complexe . Il gagne un bonus de +4 au jet d’attaque , de dégâts et de confirmation des coups critiques . Ce bonus augmente de +1 à BBA +11, +16 et +20 (pour un maximum de +7 quand il atteint un BBA +20). Une fois l’attaque résolue, l’adversaire attaqué peut dépenser une action immédiate pour faire une unique attaque de corps à corps contre le personnage, avec les mêmes bonus."
Lacération furieuse*,AG,"BBA +6, attaque spéciale éventration",Le nombre d'attaques réussies nécessaires pour faire une éventration diminue de moitié
Lacération furieuse supérieure*,AG,"Science de la lacération furieuse, Lacération furieuse, BBA +12, attaque spéciale éventration",Inflige des dégâts de saignement en cas d'éventration
Lâcher de munition*,MR,"1 rang en Escamotage, maniement de la fronde",Le personnage peut recharger les frondes par une action rapide
Lai de la terre,MCA,Capacités de classe imitation animale et empathie sauvage,Gain d'une version mineure du pouvoir de classe environnement de prédilection
Lame montée,RSE,"Combat monté, Attaque au galop, 3 rangs en Équitation",Attaque une cible adjacente après une Attaque au galop
Lancer à deux mains*,AG,For 15,Bonus de For quand le personnage utilise ses deux mains pour lancer une arme à une ou deux mains
Lancer de hache coulissante*,MR,"Dex 13, BBA +1",Ignorer les boucliers et faire des croc-en-jambe avec des haches de lancer
Lancer improvisé*,MJ,—,Pas de malus avec les armes à distance improvisées
Lancer ki*,MJRA,"Science du croc-en-jambe, Science du combat à mains nues",Lancer un adversaire dans une case adjacente en tant que croc-en-jambe
Lancer lors d'une charge*,AG,Tir à bout portant,Le personnage peut utiliser les règles de charge pour faire une attaque avec une arme de jet
Lanceur à courte distance*,AG,"Dex 13, Esquive, Arme de prédilection avec l'arme de jet choisie",Les attaques avec l'arme choisie ne provoquent pas d'attaque d'opportunité
Lanceur à distance*,AG,For 13,Réduit le malus de distance des armes de jet de 2
Lanceur de sorts acrobatique*,UI,"Magie de guerre, Talent (Acrobaties)",Évite les attaques d'opportunité provoquées par le lancement de sort en utilisant Acrobaties
Lanceur enragé,AG,"Capacité de classe rage de berserker, Lancer improvisé",Lance une arme à deux mains par une action simple
Lanceur réactif,DTT,"Attaques réflexes, NLS 5",Lance un sort d'abjuration pendant le round de surprise
Lanceur rusé,HoS,"Fourberie, capacité à lancer des sorts de niveau 1",Utilise le Bluff pour camoufler l'incantation de sorts
Langue agile,MR,Grippli,La langue du personnage peut manipuler et voler des petits objets
Langue puissante,CM,"For 17, langue gluante",Gain du pouvoir attirer avec la langue
Langue sauvage,AM,"Capacité de classe forme animale, druide de niveau 6",Parle sous forme animale
Lanterne du sniper,CM,"Tir à bout portant, pouvoir magique racial lumières dansantes",Améliore lumières dansantes pour aider les attaques à distance
Lecteur attentif,OO,"3 rangs en Art de la magie, 3 rangs en Linguistique","Le personnage obtient un bonus de +4 aux jets de sauvegarde contre les effets d’écritures magiques comme runes explosives , glyphe de garde , texte illusoire , symbole de mort , et les effets similaires, ainsi que toute forme de malédiction, de folie, de possession, ou d’effets similaires -magiques ou non- qui pourraient l'empêcher de lire correctement un livre, une inscription, un parchemin, ou toute autre forme d'écriture."
Lecture de la pierre,D&M,4 rangs en Connaissances (exploration souterraine),"Lorsque le personnage est dans un environnement majoritairement souterrain ou montagneux, il bénéficie d’un bonus de +3 aux tests de Perception . S’il possède 10 rangs ou plus en Connaissances (exploration souterraine), ce bonus passe à +6."
Lecture des résidus magiques,UI,—,Obtient plus d'information grâce aux auras magiques
Législateur infernal,BD,Sous-type diable,Créé des contrats infernaux par une action complexe
Liens du sang,MR,"1 rang en Bluff, capacité de classe lignage d'ensorceleur, gnome",Utilise le Bluff au lieu de la Diplomatie pour influencer des créatures proches du lignage du personnage
Linceul d'ombres,CM,"Attaques réflexes, pouvoir magique racial ténèbres",Créé une brume de ténèbres autour du personnage qui lui confère un camouflage
Linceul de gnome hanté*,AG,"Cha 13, trait racial magie gnome, Gnome hanté, Assaut de gnome hanté, 6 rangs en Connaissances (Mystères)",Utilisation supplémentaire de la magie gnome
Linguistique ésotérique,MCA,Talent (Linguistique),Le personnage utilise Linguistique à la place d'Utilisation d'objets magiques et d'Art de la magie pour certains tests
Logique implacable,UI,"Int 19, 3 rangs en Diplomatie",Gagne +4 aux tests de Diplomatie et utilise l'Intelligence pendant les duels verbaux
Long-nez,MR,"Personnage de niveau 3, tengu",Apprend à prendre la forme d'un humain au long nez
Lutte perforante*,UI,"Dex 13, Arme en main, Science de la lutte, Science du combat à mains nues, 7 rangs en Intimidation",Poignarde un adversaire pendant une lutte
Lutte sale*,DTT,"Dex 13, Int 13, Expertise du combat, Science du sale coup, Science de la lutte, Science du combat à mains nues, BBA +6",Combine une manoeuvre de lutte et de sale coup
Lutte supérieure*,MJ,"Science de la lutte, BBA +6",Maintenir une prise est une action de mouvement
Lutteur déloyal*,MCA,"For 13, Dex 13, Science de la lutte, Science du combat à mains nues, Attaque en puissance, BBA +1",Les luttes engagées par le personnage sont plus faciles à maintenir
Lutteur des bars*,MCA,BBA +4,"Une fois par jour, le personnage peut utiliser un don de combat qu'il ne possède pas pendant 1 minute"
Lutteur ivre*,D&M,"Endurance, suivant de Cayden Cailéan","L'alcool impose un malus de -2 aux jets de Réflexes, mais confère un bonus aux autres jets de sauvegarde ainsi que des points de vie temporaires"
Lutteur rapide*,AG,"Dex 13, Lutte supérieure, Science de la lutte, Science du combat à mains nues, BBA +9 ou moine de niveau 9",Dépense une action rapide pour faire une manoeuvre de lutte avec Lutte supérieure
Mâchoires claquantes*,CM,"BBA +1, gnoll",Utilise la morsure comme une attaque naturelle
Maestro psychique,AO,Sensibilité psychique ou capacité à lancer des sorts psychiques,Utilisation plus fréquente des extensions de compétence occultes
Mage de glace de l'Enclave,CSU,"Ensorceleur, affinité avec l'Enclave de la Reine-Sorcière, accessible seulement au niveau 1","Lance les sorts de froid avec un niveau plus élevé, change les sorts lancés en froid"
Mage de vapeur,MR,Ondin,Lance des sorts de feu sous l'eau avec de la vapeur
Mage des étendues sauvages,MR,"Harmonie sauvage, elfe",Bonus aux tests pour incanter et analyser des propriétés magiques dans l'environnement choisi
Mage talentueux,MCA,Talents de roublard magie mineure et magie majeure,Gain d'utilisations supplémentaires de pouvoirs magiques
Mage ténébreux,MR,NLS 1 drow,"Lorsqu’il lance des sorts de la branche de l’ombre ou du registre de ténèbres , le drow est considéré comme ayant deux niveaux de plus quand il s’agit de déterminer la durée de ces sorts."
Magie de guerre,MJ,—,"Le personnage bénéficie d’un bonus de +4 aux tests de concentration lorsqu’il essaye de lancer un sort ou d’utiliser un pouvoir magique sur la défensive , ou lorsqu’il est agrippé ou immobilisé en situation de lutte ."
Magie de la nature,MCA,1 rang en Connaissances (nature),Le personnage gagne repérage comme pouvoir magique constant et utilise une autre oraison de druide une fois par jour
Magie démentielle*,MCA,Capacité de classe rage sanguine ou pouvoir de rage lucidité parfaite,Le personnage conserve tout son potentiel magique même en rage
Magie des âmes,BD,"Alignement Mauvais, NLS 5",Utilise une âme capturée comme composante matérielle coûteuse pour lancer un sort
Magie des glyphes,CCMI,"Int 15, Écriture de parchemins",Bonus au niveau de lanceur de sorts lors de l'utilisation de parchemins
Magie des nains gris,CM,Duergar,Gain d'un nouveau pouvoir magique duergar
Magie draconique,CM,"Aspect draconique, kobold",Gain de nouveaux pouvoirs magiques en fonction de l'héritage draconique choisi
Magie flexible,MCA,"Maîtrise des sorts, magicien de niveau 1",Préparation de certains sorts de manière flexible
Magie gnome supplémentaire,MR,"Cha 13, gnome",Gain de 3 utilisations quotidiennes supplémentaires des pouvoirs innés de gnome
Magie innée,CM,"Lanceur de sorts profanes, NLS 4, homme-serpent",Dépense des sorts profanes préparés pour réutiliser des pouvoirs magiques
Main de feu*,MR,Gobelin,"Manie des torches comme des armes, +1 à l'attaque avec les armes enflammées"
Mains de bravoure,ISG,"Capacité de classe imposition des mains, suivant d'Iomédae",L'imposition des mains accorde un bonus à l'attaque et aux jets de sauvegarde contre la peur
Mains du croyant,MCA,"Sag 13, Bienfait du croyant, doit être Loyal Bon, aligenement divergeant au maximum d'un cran de celui du dieu",imposition des mains une fois par jour
Maître alchimiste,MJRA,5 rangs en Artisanat (alchimie),"Le personnage +2 aux tests d'Artisanat (Alchimie), permet de créer des objets alchimiques et des poisons plus rapidement"
Maître artisan,MJ,5 rangs dans un Artisanat ou une Profession au choix,Le personnage n'a pas besoin d'être un lanceur de sorts pour créer des objets magiques
Maître brasseur,MR,"1 rang en Artisanat (alchimie), 1 rang en Profession (brasseur), nain",Le personnage gagne un bonus de +2 aux tests d’Artisanat (alchimie) et de profession (brasseur) et ajoute 1 au DD de tous les poisons ingérés qu’il crée.
Maître cerclé de fer,ISG,"Prêtre de niveau 7, suivant de Gorum",Gain de la capacité de classe entraînement aux armures du guerrier
Maître de l'étreinte fatale*,AG,"For 17, Int 3; naga, homme-serpent, ou créature avec la capacité raciale constriction; Étreinte fatale; Horreur de l'étreinte fatale; BBA +9",L'attaque de constriction inflige deux fois plus de dés de dégâts
Maître de la matraque*,AG,"Attaque sournoise +3d6, Adepte de la matraque",Double les dégâts d'attaque sournoise en cas de dégâts non létaux
Maître de la traque au clair de lune*,AG,"Int 13, Combat en aveugle, Expertise du combat, Science de la feinte, Traqueur au clair de lune, Feinte du traqueur au clair de lune, 9 rangs en Bluff, trait racial vision nocturne ou vision dans le noir","Quand le personnage est camouflé, les chances de le rater augmentent de 10%"
Maître des affaires,RSE,"6 rangs en Estimation, 6 rangs en Profession (au choix)","Apprend à faire des investissements sur le marché, gagnant un profit mensuel"
Maître des bâtons*,AM,"Arme de prédilection (bâton), BBA +5",Utilisation à une main des bâtons
Maître des chevaux*,AG,"Capacité de classe dresseur expérimenté, 6 rangs en Équitation",Le personnage utilise son niveau pour déterminer les pouvoirs et les capacités de sa monture
Maître des duels*,CCMI,"Maniement d'une arme exotique (épée de duel), Arme en main, Attaque en finesse, Arme de prédilection (épée de duel)",bonus à l'initiative et à la CA lors d'un combat à l'épée de duel
Maître des écoles de combat*,AG,"Science du combat à mains nues, deux dons d'école, BBA +6 ou moine de niveau 5",Le personnage peut changer de style par une action libre
Maître des merveilles,MR,"Volonté de fer, membre des Chercheurs de merveilles, gnome",Deux jets pour déterminer les effets d'un sceptre merveilleux
Maître des morts-vivants,AM,"École renforcée (Nécromancie), capacité à lancer animation des morts ou contrôle des morts-vivants",Anime et contrôle plus de morts-vivants
Maître des opérations*,MR,"Coup de fouet démoralisant, 5 rangs en Intimidation, hobgobelin",Encourage un allié pour améliorer son offensive au détriment de sa défense
Maître des tonnerres jumeaux*,AG,"Nain ou gnome, trait racial entraînement défensif; Science du combat à deux armes et Combat à deux armes, ou capacité de classe déluge de coups; Tonnerres jumeaux; Déluge des tonnerres jumeaux; Arme de prédilection avec les deux armes utilisées; BBA +9",L'adversaire frappé par les tonnerres jumeaux est secoué
Maître des vagues,ISG,Suivant de Gozreh,Un test de Natation réussit permet de se déplacer plus rapidement dans l'eau
Maître du chakra,AO,"Adepte du chakra, Initié du chakra, capacité à éveiller le chakra couronne","Gain de 5 points de ki de feu-serpent pour les chakras, possibilité de dépenser du chakra pour obtenir deux avantages de chakra"
Maître du combat de spectacle*,AG,"Combattant de spectacle ou trois dons de spectacle, BBA +6",Le personnage fait un test de combat de spectacle par une action libre
Maître du refus de mourir*,AG,"For 13, Con 15, demi-orque ou orque, Initié du refus de mourir, Dur à cuire, Endurance, Peau de fer, BBA +9",Pas de perte de points sous Dur à cuire
Maître du savoir,ISG,"Int 17, Talent (Connaissances [n'importe]), suivant d'Irori","Une fois par jour, le personnage considère qu'il a obtenu un 20 naturel sur un test de la Connaissances choisie"
Maître du tir embusqué*,DTT,"Expert du tir embusqué, Tir rapide, 6 rangs en Discrétion",Effectue deux attaques pendant un tir embusqué
Maître ingénieur de siège*,AG,"Ingénieur de siège, 10 rangs en Connaissances (ingénierie)",L'équipe charge l'arme de siège par une action de mouvement
Maîtrise de l'arme à aspersion,AA,—,Lance les armes à impact plus loin et avec plus de précision
Maîtrise de l'armure magique*,MJ,"Port de l'armure magique, Port des armures intermédiaires, NLS 7",Chances d'échec des sorts profanes réduites de 20%
Maîtrise de la dorn-dergar*,MR,"Combat à deux armes, BBA +4, maniement de la dorn-dergar naine",Manier la dorn-dergar à une main
Maîtrise des arbalètes*,MJRA,"Dex 15, Tir à bout portant, Rechargement rapide, Tir rapide","Recharger une arbalète par une action libre, permet les attaques à outrance"
Maîtrise des armes ancestrales*,ISR,"BBA +1, trait racial armes familières",Gain du maniement des armes raciales ou d'Arme de prédilection adaptable avec l'une d'elle
Maîtrise des armes de spectacle*,AG,—,Toutes les armes que le personnage sait manier sont considérées comme des armes de spectacle
Maîtrise des armes improvisées*,MJ,"Surprise ou Lancer improvisé, BBA +8",De dangereuses attaques avec une arme improvisée
Maîtrise des chaînes*,BD,"Dex 15, Maniement d'une arme exotique (chaîne cloutée)","Manie une chaîne cloutée à une main, gagne des bonus en maniant une chaîne cloutée à deux mains"
Maîtrise des sorts,MJ,Magicien de niveau 1,Certains sorts se préparent sans grimoire
Maîtrise des talents multiples,MR,"Personnage de niveau 5, demi-elfe, trait racial talents multiples",Considère toutes les classes comme des classes de prédilection
Maîtrise du bouclier*,MJ,"Frappe du bouclier, BBA +11",Pas de malus pour le combat à deux armes si le personnage attaque avec un bouclier
Maîtrise du combat défensif*,MJ,—,Le total de DV du personnage devient son BBA pour le calcul du DMD
Maîtrise du combat en aveugle*,MJRA,"15 rangs en Perception, Science du combat en aveugle",Traiter le camouflage total comme un camouflage partiel
Maîtrise du fouet*,AG,"Arme de prédilection (fouet), BBA +2",Le personnage ne provoque pas d'attaque d'opportunité quand il utilise un fouet
Maîtrise du fouet supérieure*,AG,"Science de la maîtrise du fouet, Arme de prédilection (fouet), Maîtrise du fouet, BBA +8",Lutte grâce au fouet
Maîtrise du tir à bout portant*,MJRA,Spécialisation martiale avec l'arme à distance choisie,Attaquer avec une arme à distance ne provoque plus d'attaque d'opportunité
Maîtrise martiale*,MR,"Polyvalence martiale, guerrier de niveau 16, humain",Les dons de combat peuvent être appliqués à toutes les armes du même groupe
Malédiction arcanique,MR,"Lanceur de sorts profanes, trait racial porte-poisse halfelin",Le personnage peut sacrifier des sorts profanes pour rendre ses malédictions plus dure à éviter
Malédiction d'apathie,MR,Trait racial porte-poisse halfelin,Le personnage applique le malus de sa malédiction aux tests d'initiative et aux jets d'attaque de sa cible
Malédiction de fascination,MR,"Capacité de classe représentation bardique, Trait racial porte-poisse halfelin",Le personnage combine les effets de sa fascination avec ceux de sa malédiction
Malédiction de zone,MR,"Extension de zone d'effet, trait racial porte-poisse halfelin",Le personnage peut maudire plusieurs créatures à la fois
Malédiction du pire,MR,"5 rangs en Connaissances (mystères), trait racial porte-poisse halfelin",La malédiction du personnage endigue les effets bénéfiques qui ciblent sa victime
Malédiction étendue,MR,Trait racial porte-poisse halfelin,Augmente la portée de la malédiction du personnage de 9 m
Malédiction renforcée,MR,"Vigueur surhumaine, Volonté de fer, ou Réflexes surhumains; trait racial porte-poisse halfelin",Augmente le malus de la malédiction du personnage aux jets de sauvegarde auxquels il a un bonus
Malédiction vengeresse,ISG,"Capacité à lancer au moins un sort ou pouvoir magique du registre de la malédiction, suivant de Calistria",Utilise un effet de malédiction immédiatement après être tué ou rendu sans défense
Maléfice amplifié,MCA,Capacité de classe maléfice,Le personnage peut renforcer les effets de ses maléfices en sacrifiant des emplacements de sort
Maléfice flexible,MCA,Capacité de classe maléfice errant,Changement de maléfice errant par une action rapide
Maléfice magique,AM,Capacité de classe maléfice majeur,Lance un sort de niveau 1 comme un maléfice
Maléfice maudit,AM,Capacité de classe maléfice,Vise une créature une seconde fois dans la journée si elle a réussi son jet de sauvegarde la première
Maléfice sanglant supplémentaire,MTT,"Int 15, deux dons de maléfice sanglant, 5 rangs en Art de la magie, 5 rangs en Utilisation d'objets magiques",Gain de 2 utilisations supplémentaires des maléfices sanglants
Maléfice supplémentaire,MJRA,Capacité de classe maléfice,Gagne un maléfice de plus
Mandala de chakra,OO,Capacité de classe réserve de ki,Ne subit que la moitié des dégâts en ratant un test pour maintenir un chakra éveillé
Maniement d'une arme de guerre*,MJ,—,Pas de malus aux jets d'attaque avec une arme de guerre
Maniement d'une arme exotique*,MJ,BBA +1,Pas de malus quand le personnage utilise une arme exotique
Maniement des armes courantes*,MJ,—,Pas de malus aux jets d'attaque avec les armes courantes
Maniement des boucliers*,MJ,—,Pas de malus aux jets d'attaque avec un bouclier
Maniement du pavois*,MJ,Maniement des boucliers,Pas de malus jets tests d'attaque avec un pavois
Manieur de torche / Tison*,D&M,—,Considère les torches comme des masses d'armes légères infligeants 1 point de dégâts de feu supplémentaire
Manipulation partagée,MR,"Cha 13, demi-elfe","Par une action de mouvement , le personnage donne un bonus de +2 aux tests de Bluff ou d’ Intimidation (choisir la compétence à chaque utilisation) de tous les alliés qui se trouvent à moins de 9 m (6 c ) et peuvent le voir ou l’entendre. L’effet dure un nombre de rounds égal au modificateur de Charisme du personnage (1 round au minimum)."
Manoeuvre de désorientation,AG,"Esquive, 5 rangs en Acrobaties","Quand le personnage réussit à traverser une case adverse avec une acrobatie, il gagne un bonus de +2 aux jets d'attaque contre lui"
Manœuvre hydraulique,MR,"Poussée hydraulique comme pouvoir magique, ondin",Utilise la poussée hydraulique pour effectuer plus de manoeuvres
Manoeuvre surprise,MCA,Expertise du combat; attaque sournoise +3d6 or frappe étudiée +3d6,Le personnage gagne un bonus aux tests de manoeuvre offensive contre les ennemis pris en tenaille et ceux qui perdent leur bonus de Dex à la CA
Manoeuvrer le filet*,AG,"Maniement d'une arme exotique (filet), Adepte du filet, BBA +3",Peut utiliser un filet pour faire un croc-en-jambe ou un désarmement
Manoeuvres agiles*,MJ,—,Utilisation du bonus de Dex pour le calcul du BMO
Manoeuvres dimensionnelles,AG,"Capacité de classe pas chassé ou capacité à lancer porte dimensionnelle, Agilité dimensionnelle, Assaut dimensionnel, Derviche dimensionnel, BBA +9","Quand le personnage utilise le don Derviche dimensionnel, il gagne un bonus de +4 aux tests de manœuvre offensive de bousculade, de désarmement, de repositionnement et de croc-en-jambe contre ses adversaires."
Marché noir,RSE,"4 rangs en Estimation, 4 rangs en Connaissances (folklore local)",Gagne une ressource monétaire grâce aux contacts du marché noir
Marche sur les nuages,MJRA,"Démarche de l'araignée, moine de niveau 12",Marcher dans les airs sur la moitié de la distance ralentie
Marée de sang,CM,"Expertise du combat, Frénésie du sang supérieure, BBA +6, sahuagin",Abandonne les attaques normales pour en obtenir plus contre tous les adversaires blessé qui saignent
